CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
833817,12000200118,2012200118,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,06/25/2012 07:16:00 PM,15XX BLOCK OF 2ND AVE,M,M3,8100.1007,-122.35316205,47.618480049,"(47.618480049, -122.35316205)",,,,
99396,10000368326,2010368326,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,10/21/2010 02:50:00 PM,12XX BLOCK OF 8TH AVE W,Q,Q3,6900.3005,-122.367809806,47.631018744,"(47.631018744, -122.367809806)",,,,
1645261,16000004645,20164645,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,01/05/2016 01:00:17 PM,10XX BLOCK OF NE 50 ST,U,U1,4400.4005,-122.31687,47.664932,"(47.664932, -122.31687)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,01/05/2016 11:41:58 AM
2093876,14000209842,2014209842,220,MENTAL COMPLAINT,MENTAL CALL,MENTAL HEALTH,06/30/2014 12:08:00 AM,9XX BLOCK OF N 85 ST,N,N2,1800.2014,-122.345864519,47.690566694,"(47.690566694, -122.345864519)",VICE - PROSTITUTION,OTHER VICE,VICE CALLS,06/30/2014 12:01:00 AM
876785,12000270077,2012270077,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,08/15/2012 02:11:00 AM,17XX BLOCK OF 11TH AVE,C,C2,7500.4002,-122.318187641,47.617006635,"(47.617006635, -122.318187641)",,,,
1814575,16000302697,2016302697,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/21/2016 10:41:54 PM,21XX BLOCK OF 26 AV S,R,R2,9500.2056,-122.29902,47.58436,"(47.58436, -122.29902)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/21/2016 10:09:08 PM
852149,12000228631,2012228631,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,07/16/2012 01:06:00 PM,M L KING JR WY S / S IRVING ST,G,G3,9500.6002,-122.297467925,47.591286227,"(47.591286227, -122.297467925)",,,,
104652,10000376314,2010376314,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10/28/2010 09:57:00 AM,38XX BLOCK OF NE 70TH ST,L,L3,3900.4005,-122.286602396,47.679415049,"(47.679415049, -122.286602396)",,,,
429244,11000284106,2011284106,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,08/29/2011 08:13:00 AM,RAINIER AV S / S MYRTLE ST,S,S1,11102.4002,-122.270728942,47.538904672,"(47.538904672, -122.270728942)",,,,
1740630,16000174684,2016174684,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,05/19/2016 07:14:14 AM,WILSON AV S / 50 AV S,R,R3,10200.4009,-122.2707,47.55707,"(47.55707, -122.2707)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1966800,17000111872,2017111872,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/30/2017 11:14:40 PM,23 AV S / S JACKSON ST,G,G3,9000.1006,-122.30224,47.59928,"(47.59928, -122.30224)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1752344,16000195135,2016195135,031,STRONG ARM ROBBERY,ROBBERY,ROBBERY,06/02/2016 11:59:51 PM,S DEARBORN ST / MAYNARD AV S,K,K3,9100.2011,-122.32507,47.595833,"(47.595833, -122.32507)",ROBBERY - IP/JO (INCLUDES STRONG ARM),ROBBERY,ROBBERY,06/02/2016 09:11:09 PM
126863,10000408297,2010408297,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",11/24/2010 08:52:00 PM,72XX BLOCK OF S 115TH ST,J,J1,3600.4001,-122.243126709,47.499663408,"(47.499663408, -122.243126709)",,,,
826571,12000181850,2012181850,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,06/11/2012 11:27:00 AM,6XX BLOCK OF 5TH AVE,K,K2,8500.1010,-122.329514322,47.604055213,"(47.604055213, -122.329514322)",,,,
2124210,14000250001,2014250001,074,LICENSE PLATE THEFT OR LOSS,CAR PROWL,CAR PROWL,07/30/2014 12:49:00 PM,15 AV / E UNION ST,G,G1,8600.1000,-122.312779863,47.612911656,"(47.612911656, -122.312779863)","AUTO - THEFT/LOSS, PLATES AND/OR TAB",AUTO THEFTS,AUTO RECOVERIES,
1305640,13000040011,201340011,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,02/04/2013 07:09:00 PM,15 AV NE / NE 68 ST,U,U1,2600.3004,-122.311969956,47.677589346,"(47.677589346, -122.311969956)",,,,
472617,11000341451,2011341451,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,10/19/2011 11:35:00 AM,14XX BLOCK OF NW 65TH ST,B,B3,3300.6011,-122.374978095,47.675948636,"(47.675948636, -122.374978095)",,,,
1604238,15000389376,2015389376,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,11/07/2015 12:54:00 AM,64XX BLOCK OF CALIFORNIA AV SW,W,W3,10600.3004,-122.387206212,47.545679821,"(47.545679821, -122.387206212)",FIGHT - VERBAL/ORAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,
1873493,16000405060,2016405060,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,11/08/2016 06:47:55 PM,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.33057,47.600548,"(47.600548, -122.33057)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
952080,12000378582,2012378582,220,MENTAL COMPLAINT,MENTAL CALL,MENTAL HEALTH,11/04/2012 12:25:00 PM,1XX BLOCK OF NE 80TH ST,J,J1,2700.2008,-122.328034098,47.686846591,"(47.686846591, -122.328034098)",,,,
545221,11000120925,2011120925,125,PROSTITUTION,VICE CALLS,PROSTITUTION,04/16/2011 12:03:00 AM,8 AV N / REPUBLICAN ST,D,D1,7200.1012,-122.341058129,47.623217897,"(47.623217897, -122.341058129)",,,,
66942,10000320714,2010320714,282,"SUSPICIOUS CIRCUMSTANCES - BUILDING (OPEN DOOR, ETC.)",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,09/13/2010 08:28:00 AM,28XX BLOCK OF 31ST AVE S,R,R1,9500.5012,-122.292995595,47.577660195,"(47.577660195, -122.292995595)",,,,
1698427,16000097465,201697465,072,AUTO THEFT AND RECOVERY,AUTO RECOVERIES,AUTO THEFTS,03/20/2016 02:00:00 PM,38XX BLOCK OF S FERDINAND ST,R,R3,10300.5006,-122.284256,47.557846,"(47.557846, -122.284256)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,03/20/2016 12:10:16 PM
1888369,16000431891,2016431891,161,TRESPASS,TRESPASS,TRESPASS,12/01/2016 03:24:42 AM,11XX BLOCK OF HARRISON ST,D,D3,7300.1019,-122.33363,47.621986,"(47.621986, -122.33363)",TRESPASS,TRESPASS,TRESPASS,12/01/2016 02:00:33 AM
1562994,15000337489,2015337489,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,09/26/2015 08:22:00 PM,100XX BLOCK OF AURORA AV N,N,N3,1300.3000,-122.344655381,47.701792106,"(47.701792106, -122.344655381)",TRESPASS,TRESPASS,TRESPASS,
1805185,16000286219,2016286219,161,TRESPASS,TRESPASS,TRESPASS,08/08/2016 10:33:04 PM,1XX BLOCK OF N 84 ST,J,J2,2900.1000,-122.356636,47.689835,"(47.689835, -122.356636)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1962120,17000103206,2017103206,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",03/24/2017 09:24:36 AM,21XX BLOCK OF 2 AV,D,D1,8002.1,-122.343704,47.61289,"(47.61289, -122.343704)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
1707909,16000114721,2016114721,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",04/03/2016 11:59:59 AM,YESLER WY / 4 AV,K,K3,8100.2047,-122.32895,47.60172,"(47.60172, -122.32895)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
1956921,17000093722,201793722,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/16/2017 07:24:53 PM,5XX BLOCK OF 5 AV S,K,K3,9300.2002,-122.327675,47.597935,"(47.597935, -122.327675)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/16/2017 06:25:10 PM
102647,10000373214,2010373214,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/25/2010 06:29:00 PM,XX BLOCK OF UNIVERSITY ST,M,M3,8100.1023,-122.339671967,47.606217762,"(47.606217762, -122.339671967)",,,,
2173409,14000338676,2014338676,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,10/09/2014 10:41:00 PM,E MARION ST / 15 AV,G,G1,8600.1006,-122.312833506,47.610377353,"(47.610377353, -122.312833506)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
699145,11000413466,2011413466,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,12/28/2011 09:40:00 AM,95XX BLOCK OF RAINIER AVE S,S,S3,11800.1009,-122.261148052,47.520316991,"(47.520316991, -122.261148052)",,,,
43828,10000286975,2010286975,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,08/17/2010 03:02:00 PM,105XX BLOCK OF MIDVALE AVE N,N,N2,1300.4000,-122.343344668,47.705963408,"(47.705963408, -122.343344668)",,,,
883100,12000282086,2012282086,031,STRONG ARM ROBBERY ,ROBBERY,ROBBERY,08/24/2012 01:11:00 AM,16 AV E / E REPUBLICAN ST,C,C1,7600.4005,-122.311342237,47.623256689,"(47.623256689, -122.311342237)",,,,
1999368,17000171927,2017171927,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",05/16/2017 04:09:11 PM,3 AV W / W MERCER ST,Q,Q3,7100.1,-122.360634,47.624596,"(47.624596, -122.360634)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
1196846,11000145925,2011145925,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,05/07/2011 07:38:00 PM,100XX BLOCK OF COLLEGE WAY N,N,N3,1300.1009,-122.33452433,47.702331628,"(47.702331628, -122.33452433)",FOLLOW UP,MISCELLANEOUS,MISCELLANEOUS,05/07/2011 05:14:00 PM
489079,11000167651,2011167651,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,05/26/2011 12:04:00 PM,2XX BLOCK OF S KING ST,K,K3,9300.2002,-122.304511913,47.598325553,"(47.598325553, -122.304511913)",,,,
1495184,15000255259,2015255259,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",07/25/2015 04:12:00 AM,8XX BLOCK OF S BRADFORD ST,O,O2,9300.3118,-122.322353091,47.568952627,"(47.568952627, -122.322353091)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,
473837,11000349746,2011349746,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/26/2011 09:47:00 PM,14XX BLOCK OF E JOHN ST,C,C2,7500.2001,-122.305391902,47.620358647,"(47.620358647, -122.305391902)",,,,
1270037,11000012458,201112458,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,01/11/2011 01:34:00 PM,11XX BLOCK OF 23RD AVE,G,G3,8800.5003,-122.302727334,47.612265424,"(47.612265424, -122.302727334)",,,,
626771,11000189417,2011189417,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,06/13/2011 01:46:00 PM,14XX BLOCK OF 3RD AVE,K,K1,8100.2009,-122.337338756,47.60925298,"(47.60925298, -122.337338756)",,,,
2138834,14000270161,2014270161,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,08/15/2014 12:57:00 AM,4XX BLOCK OF E JOHN ST,E,E1,7400.6005,-122.325929045,47.619619958,"(47.619619958, -122.325929045)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
2176024,14000342579,2014342579,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,10/13/2014 11:44:00 AM,W OLYMPIC PL / 8 AV W,Q,Q3,5802.2010,-122.367606263,47.628256693,"(47.628256693, -122.367606263)",TRU - THEFT,OTHER PROPERTY,THEFT,10/13/2014 11:15:00 AM
1959157,17000097706,201797706,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/19/2017 11:28:08 PM,32XX BLOCK OF SW AVALON WY,W,W2,9900.3007,-122.3742,47.564075,"(47.564075, -122.3742)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
2153612,14000310266,2014310266,101,"FORGERY, BAD CHECKS",FRAUD CALLS,FRAUD CALLS,09/16/2014 03:41:00 PM,125XX BLOCK OF AURORA AV N,N,N1,402.2003,-122.344946829,47.720481993,"(47.720481993, -122.344946829)","FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC",FRAUD CALLS,FRAUD CALLS,09/16/2014 02:22:00 PM
712543,12000016304,201216304,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,01/17/2012 09:17:00 AM,34XX BLOCK OF THORNDYKE AVE W,Q,Q1,5801.4035,-122.378262904,47.651355995,"(47.651355995, -122.378262904)",,,,
433684,11000290440,2011290440,073,AUTO RECOVERY,AUTO RECOVERIES,AUTO THEFTS,09/03/2011 09:28:00 AM,125XX BLOCK OF 27TH AVE NE,L,L1,200.2009,-122.299097165,47.720205686,"(47.720205686, -122.299097165)",,,,
1135614,15000221160,2015221160,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,06/30/2015 12:24:00 PM,1 AV / YESLER WY,K,K1,9200.2007,-122.334179779,47.601720956,"(47.601720956, -122.334179779)","PANHANDLING, AGGRESSIVE",DISTURBANCES,DISTURBANCES,06/30/2015 11:46:00 AM
2250538,15000019628,201519628,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,01/18/2015 01:53:00 PM,9 AV / HOWELL ST,D,D2,7300.2023,-122.333166686,47.61481919,"(47.61481919, -122.333166686)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
1518413,15000283587,2015283587,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/15/2015 11:48:00 AM,17 AV / E UNION ST,C,C3,7900.3000,-122.310168237,47.612904451,"(47.612904451, -122.310168237)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/15/2015 10:34:00 AM
901483,12000311656,2012311656,141,LEWD CONDUCT,LIQUOR VIOLATIONS,LEWD CONDUCT,09/14/2012 10:24:00 PM,3XX BLOCK OF PIKE ST,K,K1,8100.2005,-122.337238175,47.609981889,"(47.609981889, -122.337238175)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,09/14/2012 09:55:00 PM
1987571,17000150589,2017150589,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,04/30/2017 01:42:52 PM,84XX BLOCK OF M L KING JR WY S,S,S2,11700.1004,-122.27972,47.52699,"(47.52699, -122.27972)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
393584,11000232167,2011232167,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,07/18/2011 01:56:00 AM,123XX BLOCK OF 31ST AVE NE,L,L2,700.1002,-122.295151407,47.718195056,"(47.718195056, -122.295151407)",,,,
1501676,15000262531,2015262531,,,,,,117XX BLOCK OF DANIEL PL NE,L,L1,700.2004,-122.299640688,47.714986182,"(47.714986182, -122.299640688)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,07/31/2015 02:22:00 AM
2186534,14000358027,2014358027,282,"SUSPICIOUS CIRCUMSTANCES - BUILDING (OPEN DOOR, ETC.)",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,10/26/2014 02:06:00 AM,2XX BLOCK OF NW 112 ST,B,B1,1400.6006,-122.360166735,47.710411661,"(47.710411661, -122.360166735)","OPEN - BUILDING, DOOR, ETC.",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,10/26/2014 01:27:00 AM
880704,12000277832,2012277832,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,08/20/2012 08:16:00 PM,3 AV / VIRGINIA ST,M,M2,8002.1001,-122.340894617,47.612397328,"(47.612397328, -122.340894617)",,,,
758721,12000085933,201285933,101,"FORGERY, BAD CHECKS",FRAUD CALLS,FRAUD CALLS,03/21/2012 02:49:00 PM,14XX BLOCK OF HUBBELL PL,D,D3,8200.3003,-122.330009987,47.612259956,"(47.612259956, -122.330009987)",,,,
891147,12000295495,2012295495,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,09/03/2012 02:43:00 AM,1XX BLOCK OF BOREN AVE N,D,D2,7300.3017,-122.335871381,47.619109578,"(47.619109578, -122.335871381)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,09/03/2012 02:35:00 AM
812792,12000167526,2012167526,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,05/30/2012 08:05:00 PM,BROADWAY E / E JOHN ST,E,E1,7500.5004,-122.3208749,47.619905164,"(47.619905164, -122.3208749)",,,,
1990758,17000155228,2017155228,043,"ASSAULTS, FIREARM INVOLVED",GUN CALLS,ASSAULTS,05/04/2017 07:46:36 PM,M L KING JR WY S / S LANE ST,G,G3,8900.2004,-122.29749,47.596725,"(47.596725, -122.29749)",SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,WEAPONS CALLS,GUN CALLS,05/04/2017 03:02:08 AM
650311,15000053025,201553025,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,02/15/2015 04:13:00 PM,127XX BLOCK OF 15 AV NE,L,L1,200.5004,-122.312674748,47.720318296,"(47.720318296, -122.312674748)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1251856,11000037180,201137180,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,01/31/2011 09:12:00 PM,14XX BLOCK OF WESTERN AVE,M,M3,8100.1011,-122.340669909,47.607860347,"(47.607860347, -122.340669909)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,01/31/2011 09:04:00 PM
1246801,11000043775,201143775,191,FELONY WARRANT SERVICE,WARRANT CALLS,ARREST,02/06/2011 04:12:00 AM,NE 127 ST / LAKE CITY WY NE,L,L1,100.3007,-122.294163392,47.721090152,"(47.721090152, -122.294163392)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,02/06/2011 02:40:00 AM
147073,10000439772,2010439772,071,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,12/22/2010 07:28:00 PM,20XX BLOCK OF WESTERN AVE,M,M3,8100.1013,-122.344123277,47.610790348,"(47.610790348, -122.344123277)",,,,
